id,title,author,genre
233,The Adventures of Huckleberry Finn,Mark Twain,Adventure
234,Les Misérables,Victor Hugo,Historical Fiction
235,Heart of Darkness,Joseph Conrad,Novella
236,Gulliver's Travels,Jonathan Swift,Satire
237,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
238,The Count of Monte Cristo,Alexandre Dumas,Adventure
239,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
240,The War of the Worlds,H.G. Wells,Science Fiction
241,Of Mice and Men,John Steinbeck,Fiction
242,Winnie-the-Pooh,A.A. Milne,Children's Literature
243,The Jungle Book,Rudyard Kipling,Children's Literature
244,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
245,The Adventures of Tom Sawyer,Mark Twain,Adventure
246,Beloved,Toni Morrison,Fiction
247,Great Expectations,Charles Dickens,Historical Fiction
248,The Picture of Dorian Gray,Oscar Wilde,Fiction
249,The Call of the Wild,Jack London,Adventure
250,The Wind in the Willows,Kenneth Grahame,Children's Literature
251,Wuthering Heights,Emily Bronte,Romance
252,Robinson Crusoe,Daniel Defoe,Adventure
253,The Giver,Lois Lowry,Young Adult
254,Crime and Punishment,Fyodor Dostoevsky,Fiction
255,The Scarlet Letter,Nathaniel Hawthorne,Fiction
256,Jane Eyre,Charlotte Bronte,Romance
257,The War of the Worlds,H.G. Wells,Science Fiction
258,The Three Musketeers,Alexandre Dumas,Adventure
259,The Legend of Sleepy Hollow,Washington Irving,Fiction
260,Siddhartha,Hermann Hesse,Philosophical Fiction
261,The Sound and the Fury,William Faulkner,Fiction
262,Oliver Twist,Charles Dickens,Novel
263,The Iliad,Homer,Epic Poetry
264,Gone with the Wind,Margaret Mitchell,Historical Fiction
265,For Whom the Bell Tolls,Ernest Hemingway,Fiction
266,Peter Pan,J.M. Barrie,Fantasy
267,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
268,The Canterbury Tales,Geoffrey Chaucer,Poetry
269,The Time Machine,H.G. Wells,Science Fiction
270,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
271,The Adventures of Tom Sawyer,Mark Twain,Adventure
272,Dracula,Bram Stoker,Horror
273,The Bell Jar,Sylvia Plath,Fiction
274,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
275,The Odyssey,Homer,Epic Poetry
276,To Kill a Mockingbird,Harper Lee,Fiction
277,The Lord of the Rings,J.R.R. Tolkien,Fantasy
278,The Trial,Franz Kafka,Fiction
279,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
280,The Da Vinci Code,Dan Brown,Thriller
281,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
282,The Shining,Stephen King,Horror
283,Brave New World,Aldous Huxley,Science Fiction
284,The Picture of Dorian Gray,Oscar Wilde,Fiction
285,Fahrenheit 451,Ray Bradbury,Science Fiction
286,1984,George Orwell,Dystopian Fiction
287,Wuthering Heights,Emily Bronte,Romance
288,The Sun Also Rises,Ernest Hemingway,Fiction
289,The Old Man and the Sea,Ernest Hemingway,Fiction
290,The Metamorphosis,Franz Kafka,Fiction
291,A Tale of Two Cities,Charles Dickens,Historical Fiction
292,Peter Pan,J.M. Barrie,Fantasy
293,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
294,Sense and Sensibility,Jane Austen,Romance
295,The Adventures of Huckleberry Finn,Mark Twain,Adventure
296,Les Misérables,Victor Hugo,Historical Fiction
297,Heart of Darkness,Joseph Conrad,Novella
298,Gulliver's Travels,Jonathan Swift,Satire
299,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
300,The Count of Monte Cristo,Alexandre Dumas,Adventure
301,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
302,The War of the Worlds,H.G. Wells,Science Fiction
303,Of Mice and Men,John Steinbeck,Fiction
304,Winnie-the-Pooh,A.A. Milne,Children's Literature
305,The Jungle Book,Rudyard Kipling,Children's Literature
306,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
307,The Adventures of Tom Sawyer,Mark Twain,Adventure
308,Beloved,Toni Morrison,Fiction
309,Great Expectations,Charles Dickens,Historical Fiction
310,The Picture of Dorian Gray,Oscar Wilde,Fiction
311,The Call of the Wild,Jack London,Adventure
312,The Wind in the Willows,Kenneth Grahame,Children's Literature
313,Wuthering Heights,Emily Bronte,Romance
314,Robinson Crusoe,Daniel Defoe,Adventure
315,The Giver,Lois Lowry,Young Adult
316,Crime and Punishment,Fyodor Dostoevsky,Fiction
317,The Scarlet Letter,Nathaniel Hawthorne,Fiction
318,Jane Eyre,Charlotte Bronte,Romance
319,The War of the Worlds,H.G. Wells,Science Fiction
320,The Three Musketeers,Alexandre Dumas,Adventure
321,The Legend of Sleepy Hollow,Washington Irving,Fiction
322,Siddhartha,Hermann Hesse,Philosophical Fiction
323,The Sound and the Fury,William Faulkner,Fiction
324,Oliver Twist,Charles Dickens,Novel
325,The Iliad,Homer,Epic Poetry
326,Gone with the Wind,Margaret Mitchell,Historical Fiction
327,For Whom the Bell Tolls,Ernest Hemingway,Fiction
328,Peter Pan,J.M. Barrie,Fantasy
329,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
330,The Canterbury Tales,Geoffrey Chaucer,Poetry
331,The Time Machine,H.G. Wells,Science Fiction
332,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
333,The Adventures of Tom Sawyer,Mark Twain,Adventure
334,Dracula,Bram Stoker,Horror
335,The Bell Jar,Sylvia Plath,Fiction
336,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
337,The Odyssey,Homer,Epic Poetry
338,To Kill a Mockingbird,Harper Lee,Fiction
339,The Lord of the Rings,J.R.R. Tolkien,Fantasy
340,The Trial,Franz Kafka,Fiction
341,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
342,The Da Vinci Code,Dan Brown,Thriller
343,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
344,The Shining,Stephen King,Horror
345,Brave New World,Aldous Huxley,Science Fiction
346,The Picture of Dorian Gray,Oscar Wilde,Fiction
347,Fahrenheit 451,Ray Bradbury,Science Fiction
348,1984,George Orwell,Dystopian Fiction
349,Wuthering Heights,Emily Bronte,Romance
350,The Sun Also Rises,Ernest Hemingway,Fiction
351,The Old Man and the Sea,Ernest Hemingway,Fiction
352,The Metamorphosis,Franz Kafka,Fiction
353,A Tale of Two Cities,Charles Dickens,Historical Fiction
354,Peter Pan,J.M. Barrie,Fantasy
355,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
356,Sense and Sensibility,Jane Austen,Romance
357,The Adventures of Huckleberry Finn,Mark Twain,Adventure
358,Les Misérables,Victor Hugo,Historical Fiction
359,Heart of Darkness,Joseph Conrad,Novella
360,Gulliver's Travels,Jonathan Swift,Satire
361,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
362,The Count of Monte Cristo,Alexandre Dumas,Adventure
363,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
364,The War of the Worlds,H.G. Wells,Science Fiction
365,Of Mice and Men,John Steinbeck,Fiction
366,Winnie-the-Pooh,A.A. Milne,Children's Literature
367,The Jungle Book,Rudyard Kipling,Children's Literature
368,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
369,The Adventures of Tom Sawyer,Mark Twain,Adventure
370,Beloved,Toni Morrison,Fiction
371,Great Expectations,Charles Dickens,Historical Fiction
372,The Picture of Dorian Gray,Oscar Wilde,Fiction
373,The Call of the Wild,Jack London,Adventure
374,The Wind in the Willows,Kenneth Grahame,Children's Literature
375,Wuthering Heights,Emily Bronte,Romance
376,Robinson Crusoe,Daniel Defoe,Adventure
377,The Giver,Lois Lowry,Young Adult
378,Crime and Punishment,Fyodor Dostoevsky,Fiction
379,The Scarlet Letter,Nathaniel Hawthorne,Fiction
380,Jane Eyre,Charlotte Bronte,Romance
381,The War of the Worlds,H.G. Wells,Science Fiction
382,The Three Musketeers,Alexandre Dumas,Adventure
383,The Legend of Sleepy Hollow,Washington Irving,Fiction
384,Siddhartha,Hermann Hesse,Philosophical Fiction
385,The Sound and the Fury,William Faulkner,Fiction
386,Oliver Twist,Charles Dickens,Novel
387,The Iliad,Homer,Epic Poetry
388,Gone with the Wind,Margaret Mitchell,Historical Fiction
389,For Whom the Bell Tolls,Ernest Hemingway,Fiction
390,Peter Pan,J.M. Barrie,Fantasy
391,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
392,The Canterbury Tales,Geoffrey Chaucer,Poetry
393,The Time Machine,H.G. Wells,Science Fiction
394,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
395,The Adventures of Tom Sawyer,Mark Twain,Adventure
396,Dracula,Bram Stoker,Horror
397,The Bell Jar,Sylvia Plath,Fiction
398,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
399,The Odyssey,Homer,Epic Poetry
400,To Kill a Mockingbird,Harper Lee,Fiction
401,The Lord of the Rings,J.R.R. Tolkien,Fantasy
402,The Trial,Franz Kafka,Fiction
403,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
404,The Da Vinci Code,Dan Brown,Thriller
405,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
406,The Shining,Stephen King,Horror
407,Brave New World,Aldous Huxley,Science Fiction
408,The Picture of Dorian Gray,Oscar Wilde,Fiction
409,Fahrenheit 451,Ray Bradbury,Science Fiction
410,1984,George Orwell,Dystopian Fiction
411,Wuthering Heights,Emily Bronte,Romance
412,The Sun Also Rises,Ernest Hemingway,Fiction
413,The Old Man and the Sea,Ernest Hemingway,Fiction
414,The Metamorphosis,Franz Kafka,Fiction
415,A Tale of Two Cities,Charles Dickens,Historical Fiction
416,Peter Pan,J.M. Barrie,Fantasy
417,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
418,Sense and Sensibility,Jane Austen,Romance
419,The Adventures of Huckleberry Finn,Mark Twain,Adventure
420,Les Misérables,Victor Hugo,Historical Fiction
421,Heart of Darkness,Joseph Conrad,Novella
422,Gulliver's Travels,Jonathan Swift,Satire
423,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
424,The Count of Monte Cristo,Alexandre Dumas,Adventure
425,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
426,The War of the Worlds,H.G. Wells,Science Fiction
427,Of Mice and Men,John Steinbeck,Fiction
428,Winnie-the-Pooh,A.A. Milne,Children's Literature
429,The Jungle Book,Rudyard Kipling,Children's Literature
430,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
431,The Adventures of Tom Sawyer,Mark Twain,Adventure
432,Beloved,Toni Morrison,Fiction
433,Great Expectations,Charles Dickens,Historical Fiction
434,The Picture of Dorian Gray,Oscar Wilde,Fiction
435,The Call of the Wild,Jack London,Adventure
436,The Wind in the Willows,Kenneth Grahame,Children's Literature
437,Wuthering Heights,Emily Bronte,Romance
438,Robinson Crusoe,Daniel Defoe,Adventure
439,The Giver,Lois Lowry,Young Adult
440,Crime and Punishment,Fyodor Dostoevsky,Fiction
441,The Scarlet Letter,Nathaniel Hawthorne,Fiction
442,Jane Eyre,Charlotte Bronte,Romance
443,The War of the Worlds,H.G. Wells,Science Fiction
444,The Three Musketeers,Alexandre Dumas,Adventure
445,The Legend of Sleepy Hollow,Washington Irving,Fiction
446,Siddhartha,Hermann Hesse,Philosophical Fiction
447,The Sound and the Fury,William Faulkner,Fiction
448,Oliver Twist,Charles Dickens,Novel
449,The Iliad,Homer,Epic Poetry
450,Gone with the Wind,Margaret Mitchell,Historical Fiction
451,For Whom the Bell Tolls,Ernest Hemingway,Fiction
452,Peter Pan,J.M. Barrie,Fantasy
453,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
454,The Canterbury Tales,Geoffrey Chaucer,Poetry
455,The Time Machine,H.G. Wells,Science Fiction
456,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
457,The Adventures of Tom Sawyer,Mark Twain,Adventure
458,Dracula,Bram Stoker,Horror
459,The Bell Jar,Sylvia Plath,Fiction
460,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
461,The Odyssey,Homer,Epic Poetry
462,To Kill a Mockingbird,Harper Lee,Fiction
463,The Lord of the Rings,J.R.R. Tolkien,Fantasy
464,The Trial,Franz Kafka,Fiction
465,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
466,The Da Vinci Code,Dan Brown,Thriller
467,One Hundred Years of Solitude,Gabriel García Márquez,Magic Realism
468,The Shining,Stephen King,Horror
469,Brave New World,Aldous Huxley,Science Fiction
470,The Picture of Dorian Gray,Oscar Wilde,Fiction
471,Fahrenheit 451,Ray Bradbury,Science Fiction
472,1984,George Orwell,Dystopian Fiction
473,Wuthering Heights,Emily Bronte,Romance
474,The Sun Also Rises,Ernest Hemingway,Fiction
475,The Old Man and the Sea,Ernest Hemingway,Fiction
476,The Metamorphosis,Franz Kafka,Fiction
477,A Tale of Two Cities,Charles Dickens,Historical Fiction
478,Peter Pan,J.M. Barrie,Fantasy
479,The Brothers Karamazov,Fyodor Dostoevsky,Fiction
480,Sense and Sensibility,Jane Austen,Romance
481,The Adventures of Huckleberry Finn,Mark Twain,Adventure
482,Les Misérables,Victor Hugo,Historical Fiction
483,Heart of Darkness,Joseph Conrad,Novella
484,Gulliver's Travels,Jonathan Swift,Satire
485,Alice's Adventures in Wonderland,Lewis Carroll,Fantasy
486,The Count of Monte Cristo,Alexandre Dumas,Adventure
487,Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
488,The War of the Worlds,H.G. Wells,Science Fiction
489,Of Mice and Men,John Steinbeck,Fiction
490,Winnie-the-Pooh,A.A. Milne,Children's Literature
491,The Jungle Book,Rudyard Kipling,Children's Literature
492,The Little Prince,Antoine de Saint-Exupéry,Children's Literature
493,The Adventures of Tom Sawyer,Mark Twain,Adventure
494,Beloved,Toni Morrison,Fiction
495,Great Expectations,Charles Dickens,Historical Fiction
496,The Picture of Dorian Gray,Oscar Wilde,Fiction
497,The Call of the Wild,Jack London,Adventure
498,The Wind in the Willows,Kenneth Grahame,Children's Literature
499,Wuthering Heights,Emily Bronte,Romance
500,Robinson Crusoe,Daniel Defoe,Adventure
501,The Giver,Lois Lowry,Young Adult
502,Crime and Punishment,Fyodor Dostoevsky,Fiction
503,The Scarlet Letter,Nathaniel Hawthorne,Fiction
504,Jane Eyre,Charlotte Bronte,Romance
505,The War of the Worlds,H.G. Wells,Science Fiction
506,The Three Musketeers,Alexandre Dumas,Adventure
507,The Legend of Sleepy Hollow,Washington Irving,Fiction
508,Siddhartha,Hermann Hesse,Philosophical Fiction
509,The Sound and the Fury,William Faulkner,Fiction
510,Oliver Twist,Charles Dickens,Novel
511,The Iliad,Homer,Epic Poetry
512,Gone with the Wind,Margaret Mitchell,Historical Fiction
513,For Whom the Bell Tolls,Ernest Hemingway,Fiction
514,Peter Pan,J.M. Barrie,Fantasy
515,The Hound of the Baskervilles,Arthur Conan Doyle,Mystery
516,The Canterbury Tales,Geoffrey Chaucer,Poetry
517,The Time Machine,H.G. Wells,Science Fiction
518,The Adventures of Sherlock Holmes,Arthur Conan Doyle,Mystery
519,The Adventures of Tom Sawyer,Mark Twain,Adventure
520,Dracula,Bram Stoker,Horror
521,The Bell Jar,Sylvia Plath,Fiction
522,The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,Horror
523,The Odyssey,Homer,Epic Poetry
524,To Kill a Mockingbird,Harper Lee,Fiction
525,The Lord of the Rings,J.R.R. Tolkien,Fantasy
